State,Acres_2017,Acres_2018,Acres_2019
Alabama,4,4,4
Alaska,2,2,2
Arizona,3,2,2
Arkansas,3,4,4
California,3,3,3
Colorado,2,2,2
Connecticut,1,1,1
Delaware,1,1,1
Florida,5,5,5
Georgia,4,5,4
Hawaii,2,1,1
Idaho,2,3,3
Illinois,2,2,2
Indiana,2,2,2
Iowa,2,2,2
Kansas,5,5,5
Kentucky,2,2,2
Louisiana,4,4,3
Maine,1,1,1
Maryland,2,2,2
Massachusetts,2,1,2
Michigan,2,2,2
Minnesota,3,3,3
Mississippi,4,4,4
Missouri,2,2,3
Montana,2,3,3
Nebraska,2,3,3
Nevada,1,2,2
New Hampshire,1,1,1
New Jersey,2,2,2
New Mexico,2,2,2
New York,1,1,1
North Carolina,3,3,3
North Dakota,2,1,1
Ohio,2,2,2
Oklahoma,4,4,4
Oregon,3,3,3
Pennsylvania,2,2,2
Rhode Island,1,1,1
South Carolina,4,4,4
South Dakota,2,2,2
Tennessee,2,2,3
Texas,4,4,4
Utah,2,2,2
Vermont,1,1,1
Virginia,2,2,2
Washington,3,2,2
West Virginia,1,2,2
Wisconsin,2,3,3
Wyoming,2,2,2
