State,PermitFee
Alabama,Not Required
Alaska,Required
Arizona,Not Required
Arkansas,N/A
California,Sometimes
Colorado,Required
Connecticut,Not Required
Delaware,Not Required
Florida,Not Required
Georgia,Not Required
Hawaii,Required
Idaho,Not Required
Illinois,Not Required
Indiana,N/A
Iowa,N/A
Kansas,N/A
Kentucky,N/A
Louisiana,N/A
Maine,Required
Maryland,Sometimes
Massachusetts,Not Required
Michigan,Not Required
Minnesota,Sometimes
Mississippi,Not Required
Missouri,N/A
Montana,Required
Nebraska,Sometimes
Nevada,N/A
New Hampshire,Not Required
New Jersey,Sometimes
New Mexico,Not Required
New York,Not Required
North Carolina,Not Required
North Dakota,Not Required
Ohio,Not Required
Oklahoma,Not Required
Oregon,Required
Pennsylvania,Not Required
Rhode Island,Not Required
South Carolina,Not Required
South Dakota,N/A
Tennessee,N/A
Texas,N/A
Utah,Not Required
Vermont,Not Required
Virginia,N/A
Washington,Required
West Virginia,Not Required
Wisconsin,Not Required
Wyoming,N/A
