State,Trend_2017,Trend_2018,Trend_2019
Alabama,Same,Same,Up
Alaska,Up,Up,Up
Arizona,Up,Down,Down
Arkansas,Same,Up,Up
California,Up,Same,Up
Colorado,Same,Same,Up
Connecticut,Down,Down,Up
Delaware,Up,Up,Up
Florida,Same,Same,Up
Georgia,Down,Same,Down
Hawaii,Up,Down,Down
Idaho,Down,Same,Up
Illinois,Down,Down,Down
Indiana,Down,Down,Down
Iowa,Up,Down,Down
Kansas,Up,Up,Up
Kentucky,Down,Same,Same
Louisiana,Up,Same,Down
Maine,Down,Down,Down
Maryland,Down,Down,Same
Massachusetts,Up,Same,Up
Michigan,Up,Up,Up
Minnesota,Up,Down,Same
Mississippi,Same,Up,Same
Missouri,Down,Up,Up
Montana,Down,Up,Up
Nebraska,Same,Up,Up
Nevada,Down,Same,Up
New Hampshire,Down,Up,Same
New Jersey,Down,Down,Up
New Mexico,Down,Down,Down
New York,Down,Up,Up
North Carolina,Same,Down,Down
North Dakota,Down,Down,Down
Ohio,Down,Down,Down
Oklahoma,Down,Down,Down
Oregon,Down,Same,Same
Pennsylvania,Up,Up,Up
Rhode Island,Up,Up,Down
South Carolina,Same,Same,Down
South Dakota,Down,Down,Down
Tennessee,Down,Down,Up
Texas,Up,Up,Up
Utah,Down,Down,Up
Vermont,Down,Down,Down
Virginia,Down,Down,Down
Washington,Down,Down,Down
West Virginia,Down,Up,Up
Wisconsin,Down,Up,Up
Wyoming,Same,Down,Up
