State,PermitRequirement
Alabama,Required
Alaska,Required
Arizona,Required
Arkansas,Not Required
California,Required
Colorado,Required
Connecticut,Required
Delaware,Required
Florida,Required
Georgia,Required
Hawaii,Required
Idaho,Required
Illinois,Required
Indiana,Not Required
Iowa,Not Required
Kansas,Not Required
Kentucky,Not Required
Louisiana,Not Required
Maine,Required
Maryland,Required
Massachusetts,Required
Michigan,Required
Minnesota,Required
Mississippi,Required
Missouri,Not Required
Montana,Required
Nebraska,Required
Nevada,Not Required
New Hampshire,Required
New Jersey,Required
New Mexico,Required
New York,Required
North Carolina,Required
North Dakota,Required
Ohio,Required
Oklahoma,Required
Oregon,Required
Pennsylvania,Required
Rhode Island,Required
South Carolina,Required
South Dakota,Not Required
Tennessee,Not Required
Texas,Not Required
Utah,Required
Vermont,Required
Virginia,Not Required
Washington,Required
West Virginia,Required
Wisconsin,Required
Wyoming,Not Required
